Plot,Comparison,Model,Dataset,Δp (pp),95% CI Lower,95% CI Upper,Confidence Interval,Significant
(d) Training data,same ViT-B-16 architecture,MetaCLIP (400M curated),COCO†,0.08,-0.18,0.35,"[-0.18, 0.35]",False
(d) Training data,same ViT-B-16 architecture,MetaCLIP (400M curated),CUB200,-0.62,-1.42,0.16,"[-1.42, 0.16]",False
(d) Training data,same ViT-B-16 architecture,MetaCLIP (400M curated),EuroSAT,4.66,4.03,5.3,"[4.03, 5.30]",True
(d) Training data,same ViT-B-16 architecture,MetaCLIP (400M curated),Fish,1.89,1.17,2.65,"[1.17, 2.65]",True
(d) Training data,same ViT-B-16 architecture,MetaCLIP (400M curated),Flwrs102,2.59,2.0,3.25,"[2.00, 3.25]",True
(d) Training data,same ViT-B-16 architecture,MetaCLIP (400M curated),ImgNet,0.45,0.21,0.68,"[0.21, 0.68]",True
(d) Training data,same ViT-B-16 architecture,MetaCLIP (400M curated),Marine,2.46,2.06,2.85,"[2.06, 2.85]",True
(d) Training data,same ViT-B-16 architecture,MetaCLIP (400M curated),OxPets,0.87,-0.05,1.83,"[-0.05, 1.83]",False
(d) Training data,same ViT-B-16 architecture,MetaCLIP (400M curated),UCM,-2.33,-4.19,-0.38,"[-4.19, -0.38]",True
(d) Training data,same ViT-B-16 architecture,OpenCLIP (LAION-2B),COCO†,-0.05,-0.3,0.2,"[-0.30, 0.20]",False
(d) Training data,same ViT-B-16 architecture,OpenCLIP (LAION-2B),CUB200,-0.67,-1.31,-0.02,"[-1.31, -0.02]",True
(d) Training data,same ViT-B-16 architecture,OpenCLIP (LAION-2B),EuroSAT,1.83,1.21,2.44,"[1.21, 2.44]",True
(d) Training data,same ViT-B-16 architecture,OpenCLIP (LAION-2B),Fish,7.24,6.43,8.12,"[6.43, 8.12]",True
(d) Training data,same ViT-B-16 architecture,OpenCLIP (LAION-2B),Flwrs102,2.7,2.1,3.32,"[2.10, 3.32]",True
(d) Training data,same ViT-B-16 architecture,OpenCLIP (LAION-2B),ImgNet,0.05,-0.15,0.24,"[-0.15, 0.24]",False
(d) Training data,same ViT-B-16 architecture,OpenCLIP (LAION-2B),Marine,1.21,0.79,1.63,"[0.79, 1.63]",True
(d) Training data,same ViT-B-16 architecture,OpenCLIP (LAION-2B),OxPets,0.71,0.0,1.47,"[0.00, 1.47]",False
(d) Training data,same ViT-B-16 architecture,OpenCLIP (LAION-2B),UCM,-0.62,-2.48,1.33,"[-2.48, 1.33]",False
